nom,date_heure,temperature
CT801,2021-05-07 20:39:16.676731,23.25
CT801,2021-05-07 20:39:26.717334,23.25
CT801,2021-05-07 20:39:36.760090,23.25
CT801,2021-05-07 22:22:37.781837,23.25
CT801,2021-05-07 22:22:37.781837,23.25
CT801,2021-05-07 22:22:37.781837,23.25
CT801,2021-05-07 22:23:08.066347,23.18
CT801,2021-05-07 22:23:18.234898,23.18
CT801,2021-05-07 22:23:28.395530,23.25
CT801,2021-05-07 22:31:19.921506,23.25
CT801,2021-05-07 22:31:30.094068,23.25
CT801,2021-05-07 22:33:03.721349,23.25
CT801,2021-05-07 22:33:13.900405,23.25
CT801,2021-05-07 22:33:24.087761,23.25
CT801,2021-05-07 22:41:26.675067,23.25
CT801,2021-05-07 22:41:36.715431,23.31
CT801,2021-05-07 22:41:56.798150,23.25
CT801,2021-05-07 22:42:06.833089,23.25
CT801,2021-05-07 22:42:16.873217,23.25
CT801,2021-05-07 22:42:36.953087,23.31
CT801,2021-05-07 22:46:02.889345,23.25
CT801,2021-05-07 22:46:12.929037,23.25
CT801,2021-05-07 22:46:22.968013,23.25
CT801,2021-05-07 22:46:43.041695,23.31
CT801,2021-05-07 22:51:22.996763,23.12
CT801,2021-05-07 22:51:33.038654,23.12
CT801,2021-05-07 22:51:43.077562,23.06
CT801,2021-05-07 22:52:03.160944,23.06
CT801,2021-05-07 22:52:13.203811,23.06
CT801,2021-05-07 22:52:33.287135,23.0
CT801,2021-05-07 22:52:43.329124,23.0
CT801,2021-05-07 22:52:53.369547,23.0
CT801,2021-05-07 22:53:03.409213,23.0
CT801,2021-05-07 22:53:13.450410,23.0
CT801,2021-05-07 22:53:23.489102,22.93
CT801,2021-05-07 22:53:33.530331,23.0
CT801,2021-05-07 22:53:43.573129,23.0
CT801,2021-05-07 22:53:53.612856,23.0
CT801,2021-05-07 22:54:03.654355,22.93
CT801,2021-05-07 22:54:13.698143,22.81
CT801,2021-05-07 22:54:23.738501,22.56
CT801,2021-05-07 22:54:33.775948,22.31
CT801,2021-05-07 22:54:43.814623,22.0
CT801,2021-05-07 22:54:53.840010,21.62
CT801,2021-05-07 22:55:03.878809,21.43
CT801,2021-05-07 22:55:13.907691,21.0
CT801,2021-05-07 22:55:23.948553,20.75
CT801,2021-05-07 22:55:33.990927,20.43
CT801,2021-05-07 22:55:54.067036,20.18
CT801,2021-05-07 22:56:14.145714,20.43
CT801,2021-05-07 22:56:34.226965,20.93
CT801,2021-05-07 22:56:44.265647,21.31
CT801,2021-05-07 22:58:34.813046,23.31
CT801,2021-05-07 22:58:54.888473,23.37
CT801,2021-05-07 23:02:59.899496,23.18
CT801,2021-05-07 23:03:09.942371,23.18
CT801,2021-05-07 23:03:19.985223,23.18
CT801,2021-05-07 23:03:50.100786,23.12
CT801,2021-05-07 23:08:14.836485,22.75
CT801,2021-05-07 23:08:24.871307,22.75
CT801,2021-05-07 23:08:44.945384,22.75
CT801,2021-05-07 23:12:40.190039,22.5
CT801,2021-05-07 23:14:06.008081,22.43
CT801,2021-05-07 23:14:16.048796,22.5
CT801,2021-05-07 23:14:28.787041,22.43
CT801,2021-05-07 23:14:38.824138,22.43
CT801,2021-05-07 23:14:58.900030,22.43
CT801,2021-05-07 23:17:24.807238,22.37
CT801,2021-05-07 23:18:21.069379,22.37
CT801,2021-05-07 23:19:14.951890,22.31
CT801,2021-05-07 23:19:24.997081,22.31
CT801,2021-05-07 23:20:07.183083,22.31
CT801,2021-05-07 23:20:27.262096,22.31
CT801,2021-05-07 23:20:47.340717,22.31
CT801,2021-05-07 23:35:41.703668,22.18
CT801,2021-05-07 23:35:51.744494,22.12
CT801,2021-05-07 23:36:01.782884,22.12
CT801,2021-05-07 23:42:24.901079,22.12
CT801,2021-05-07 23:42:34.943987,22.12
CT801,2021-05-07 23:45:11.105499,22.12
CT801,2021-05-07 23:45:21.144740,22.12
CT801,2021-05-07 23:47:06.562395,22.12
CT801,2021-05-07 23:47:16.602772,22.12
CT801,2021-05-07 23:49:17.179541,22.12
CT801,2021-05-07 23:49:39.421352,22.12
